index_code,date,open,close,low,high,volume,money,change,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh000001,2014-10-08,2368.58,2382.79,2354.29,2382.79,20439732600,180000000000.0,0.008005516,2359.438,2326.986,2220.8971666666666,2360.7610890392657,2320.6345826418133,2239.302931537958
sh000001,2014-09-30,2361.32,2363.87,2354.27,2365.49,19391869000,167000000000.0,0.002612279,2351.596,2321.1490000000003,2215.5843333333332,2349.746633558899,2314.091907130425,2234.438959336753
sh000001,2014-09-29,2353.71,2357.71,2346.58,2363.06,20011102100,171000000000.0,0.004256474,2340.766,2314.7309999999998,2210.5186666666664,2342.6849503383482,2308.8521078809963,2230.0514629087747
sh000001,2014-09-26,2339.29,2347.72,2329.96,2350.11,17474828500,148000000000.0,0.00111509,2327.198,2307.7055,2205.5465,2335.1724255075223,2303.70917186847,2225.724051278079
sh000001,2014-09-25,2352.87,2345.1,2336.81,2365.15,22568832300,189000000000.0,0.000651995,2323.544,2300.1105,2200.805,2328.8986382612834,2299.0764531177824,2221.5885918384856
sh000001,2014-09-24,2302.23,2343.58,2297.88,2345.75,22252572500,186000000000.0,0.014658499,2317.71,2293.329,2196.0436666666665,2320.7979573919247,2294.231869235444,2217.401760726499
sh000001,2014-09-23,2289.09,2309.72,2289.02,2311.53,15685516900,135000000000.0,0.008669503,2310.5719999999997,2286.5055,2191.157,2309.406936087887,2289.037329154964,2213.1245283509097
sh000001,2014-09-22,2323.55,2289.87,2284.38,2323.55,17584235400,148000000000.0,-0.016993274,2307.9399999999996,2282.4829999999997,2186.8005,2309.2504041318302,2286.860205908118,2209.8501024760053
sh000001,2014-09-19,2312.98,2329.45,2305.52,2331.56,17464848700,144000000000.0,0.005839128,2317.7940000000003,2280.0299999999997,2182.5778333333333,2318.9406061977456,2286.5433854773937,2207.1375609156735
sh000001,2014-09-18,2303.85,2315.93,2297.93,2319.88,18908904500,145000000000.0,0.003481531,2318.294,2275.0804999999996,2177.731666666667,2313.685909296619,2282.026899738172,2202.991372334312
sh000001,2014-09-17,2298.98,2307.89,2282.8,2309.05,21084245300,159000000000.0,0.00493696,2317.444,2271.2945,2172.891166666667,2312.5638639449285,2278.45815234219,2199.1629402629
